class,box_margin_q,box_coverage,matched_boxes,calib_recall_ceiling,recall@0.25,precision@0.25
Impacted,0.1629943831574018,0.8820754716981132,212,0.9540229885057471,0.9140271493212669,0.8559322033898306
Caries,0.14164702523541056,0.9285714285714286,504,0.662613981762918,0.42971887550200805,0.5031347962382445
Periapical Lesion,0.627072257171748,1.0,36,0.5416666666666666,0.37333333333333335,0.5490196078431373
Deep Caries,0.24452923477839886,0.9652173913043478,115,0.5517241379310345,0.5526315789473685,0.5097087378640777
