class,detections,ECE_raw,ECE_platt
Impacted,272,0.16420640074647963,0.10341195292089456
Caries,1448,0.08072455763785961,0.03183624262579575
Periapical Lesion,112,0.11720851017162202,0.09938977026076541
Deep Caries,318,0.10812806119006012,0.09348023618396552
all,2150,0.07005958846661936,0.03665395428360718
